Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat
BCNPPD-0001,CDF-0001,Achillea millefolium,Common Yarrow,Asteraceae,Native; common in BC,Forb,Perennial,Full sun to part sun,Dry to mesic,5,B,SRC-0001;SRC-0002;SRC-0024,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0055,CDF-0055,Acmispon americanus,Spanish-clover,,Pending review,,,,,,Pending review,SRC-0037,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0056,CDF-0056,Alaska oniongrass,Melica subulata,,Pending review,,,,,,Pending review,SRC-0038,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0011,CDF-0011,Allium cernuum,Nodding Onion,Amaryllidaceae,Native in BC,,Perennial geophyte,Full sun,Dry to mesic,4,C,SRC-0014;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0057,CDF-0057,American winter cress,Barbarea orthoceras,,Pending review,,,,,,Pending review,SRC-0039,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0021,CDF-0021,Anaphalis margaritacea,Pearly Everlasting,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0058,CDF-0058,Antennaria howellii,Howell's Pussytoes,,Pending review,,,,,,Pending review,SRC-0040,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0005,CDF-0005,Aquilegia formosa,Red Columbine,Ranunculaceae,Native in BC,,Perennial,Part shade to sun,Mesic,4,C,SRC-0008;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0017,CDF-0017,Arctostaphylos uva-ursi,Kinnikinnick,Ericaceae,Native in BC,,Evergreen subshrub,Full sun to part sun,Dry,5,B,SRC-0020;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0059,CDF-0059,Awl-fruited sedge,Carex stipata,,Pending review,,,,,,Pending review,SRC-0041,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0060,CDF-0060,Barestem desert-parsley,Lomatium nudicaule,,Pending review,,,,,,Pending review,SRC-0042,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0061,CDF-0061,Beach pea,Lathyrus japonicus,,Pending review,,,,,,Pending review,SRC-0043,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0062,CDF-0062,Beaked sedge,Carex utriculata,,Pending review,,,,,,Pending review,SRC-0044,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0063,CDF-0063,Bicoloured lupine,Lupinus bicolor,,Pending review,,,,,,Pending review,SRC-0045,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0064,CDF-0064,Blue wildrye,Elymus glaucus,,Pending review,,,,,,Pending review,SRC-0046,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0065,CDF-0065,Blue-eyed grass,Sisyrinchium idahoense,,Pending review,,,,,,Pending review,SRC-0047,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0066,CDF-0066,Broad-leaved shootingstar,Primula hendersonii,,Pending review,,,,,,Pending review,SRC-0048,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0067,CDF-0067,Broad-leaved stonecrop,Sedum spathulifolium,,Pending review,,,,,,Pending review,SRC-0049,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0068,CDF-0068,California aster,Symphyotrichum chilense,,Pending review,,,,,,Pending review,SRC-0050,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0069,CDF-0069,California brome,Bromus carinatus,,Pending review,,,,,,Pending review,SRC-0051,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0070,CDF-0070,California oatgrass,Danthonia californica,,Pending review,,,,,,Pending review,SRC-0052,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
